Year,Age,Player,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV,Salary
2018,24,Jared Goff,LAR,QB,16,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,268,70,8.4,8.5,12.9,293.0,101.1,63.1,33,223,7.52,7.69,5.6,4,4,18,33500000
2017,32,Matt Ryan,ATL,QB,2,16,16,10-6-0,342,529,64.7,4095,20,3.8,12,2.3,199,88,7.7,7.5,12.0,255.9,91.4,68.3,24,156,7.12,6.87,4.3,2,3,15,30000000
2019,42,Tom Brady,NWE,QB,12,16,16,12-4-0,373,613,60.8,4057,24,3.9,8,1.3,193,59,6.6,6.8,10.9,253.6,88.0,,27,185,6.05,6.24,4.2,1,1,11,25000000
2018,26,Carson Wentz,PHI,QB,11,11,11,5-6-0,279,401,69.6,3074,21,5.2,7,1.7,159,58,7.7,7.9,11.0,279.5,102.2,62.6,31,202,6.65,6.89,7.2,2,2,9,32000000
2019,26,Dak Prescott,DAL,QB,4,16,16,8-8-0,388,596,65.1,4902,30,5.0,11,1.8,229,62,8.2,8.4,12.6,306.4,99.7,,23,151,7.68,7.84,3.7,,,16,28728536
2019,38,Philip Rivers,LAC,QB,17,16,16,5-11-0,390,591,66.0,4615,23,3.9,20,3.4,217,84,7.8,7.1,11.8,288.4,88.5,,34,222,7.03,6.32,5.4,1,2,13,25000000
2017,34,Aaron Rodgers,GNB,qb,12,7,7,4-3-0,154,238,64.7,1675,16,6.7,6,2.5,86,72,7.0,7.2,10.9,239.3,97.2,64.4,22,168,5.80,5.99,8.5,2,2,7,33500000
2013,26,Andy Dalton,CIN,QB,14,16,16,11-5-0,363,586,61.9,4293,33,5.6,20,3.4,206,82,7.3,6.9,11.8,268.3,88.8,55.1,29,182,6.68,6.29,4.7,0,3,14,16000000
2018,30,Russell Wilson,SEA,QB,3,16,16,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,162,66,8.1,9.0,12.3,215.5,110.9,62.8,51,355,6.47,7.28,10.7,2,4,14,35000000
2016,25,Derek Carr,OAK,QB,4,15,15,12-3-0,357,560,63.8,3937,28,5.0,6,1.1,191,75,7.0,7.5,11.0,262.5,96.7,54.6,16,79,6.70,7.20,2.8,7,7,12,25000000
2018,36,Ryan Fitzpatrick,TAM,qb,14,8,7,2-5-0,164,246,66.7,2366,17,6.9,12,4.9,113,75,9.6,8.8,14.4,295.8,100.4,62.1,14,76,8.81,8.04,5.4,,,7,5500000
2019,23,Kyle Allen,CAR,QB,7,13,12,5-7-0,303,489,62.0,3322,17,3.5,16,3.3,188,52,6.8,6.0,11.0,255.5,80.0,,46,397,5.47,4.76,8.6,0,1,7,675000
2017,26,Jimmy Garoppolo,SFO,qb,10,6,5,5-0-0,120,178,67.4,1560,7,3.9,5,2.8,81,61,8.8,8.3,13.0,260.0,96.2,80.7,8,57,8.08,7.62,4.3,2,2,5,27500000
2018,26,Jacoby Brissett,IND,,7,4,0,,2,4,50.0,2,0,0.0,0,0.0,1,4,0.5,0.5,1.0,0.5,56.2,100.0,0,0,0.50,0.50,0.0,,,0,15000000
2019,31,Kirk Cousins,MIN,QB,8,15,15,10-5-0,307,444,69.1,3603,26,5.9,6,1.4,165,66,8.1,8.7,11.7,240.2,107.4,,28,206,7.20,7.73,5.9,1,1,14,33000000
2019,40,Drew Brees,NOR,QB,9,11,11,8-3-0,281,378,74.3,2979,27,7.1,4,1.1,159,61,7.9,8.8,10.6,270.8,116.3,,12,89,7.41,8.33,3.1,1,2,11,25000000
2016,28,Matthew Stafford,DET,QB,9,16,16,9-7-0,388,594,65.3,4327,24,4.0,10,1.7,218,73,7.3,7.3,11.2,270.4,93.3,66.5,37,216,6.52,6.56,5.9,8,8,14,27000000
2019,31,Ryan Tannehill,TEN,QB,17,12,10,7-3-0,201,286,70.3,2742,22,7.7,6,2.1,126,91,9.6,10.2,13.6,228.5,117.5,,31,212,7.98,8.52,9.8,2,3,11,29500000
2019,31,Case Keenum,WAS,QB,8,10,8,1-7-0,160,247,64.8,1707,11,4.5,5,2.0,83,69,6.9,6.9,10.7,170.7,91.3,,15,145,5.96,5.94,5.7,,,4,6000000
